,ticker,year,month,Stock Price on day of recommendation,Stock Price after 4 weeks,Rating_Category,Value,transaction_type_category,percentage_of_market_cap
10183,PRU,2017,2,90.4358673095703,92.9788665771484,1.0,-9770864,0.4,0.00026704538260705166
10184,PRU,2017,11,95.9442291259765,99.0852584838867,1.0,-11219150,0.0,0.00030015431691964804
10185,PRU,2018,1,105.825523376464,88.4274215698242,1.0,-1934971,0.0,5.176772963254087e-05
10186,PRU,2018,2,89.94428253173827,94.32108815511064,1.0,-4429435,0.0,0.00011849980421
10187,PRU,2019,9,80.26479148864745,81.96105003356931,1.0,1137848,1.0,3.0441708510840094e-05
10188,PRU,2019,10,81.42925643920896,84.8813438415527,1.0,-1169460,0.0,3.128743726764221e-05
10189,PRU,2020,2,78.7296752929687,62.907115936279254,1.0,-8287141,0.16666666666666666,0.0002242761771432097
10190,PRU,2020,8,63.4470348358154,66.3551559448242,1.0,177700,1.0,4.754140887640467e-06
10191,PRU,2020,11,67.45298004150389,77.23227691650385,1.0,-2083694,0.0,5.574722352692994e-05
10192,PRU,2020,12,77.56747055053705,75.65489578247065,1.0,22761,1.0,6.089473920751952e-07
10193,PSA,2012,2,98.5777435302734,101.070838928222,1.0,-65450923,0.0,0.0012459066870224834
10194,PSA,2012,3,97.79483413696286,100.9828834533685,1.0,-78586677,0.0,0.001495982079365779
10195,PSA,2012,5,102.85016632080024,98.4101257324217,1.0,-42948893,0.0,0.0008175779214816868
10196,PSA,2012,8,107.17438507080024,108.48023796081526,1.0,-3606054,0.0,6.864494008278172e-05
10197,PSA,2012,9,104.7396469116205,102.6031646728515,0.5,-2956983,0.0,5.6289593273744275e-05
10198,PSA,2013,9,120.407600402832,124.420654296875,1.0,-4606971,0.0,8.770097570898453e-05
10199,PSA,2014,5,134.170578002929,136.595825195312,1.0,-3863034,0.0,7.353818281407917e-05
10200,PSA,2014,11,148.070175170898,144.283462524414,1.0,-2816726,0.0,5.361883577076615e-05
10201,PSA,2014,12,145.942077636718,159.050735473632,1.0,-2593,0.0,4.936465981377718e-08
10202,PSA,2015,3,160.968338012695,154.719467163085,1.0,-2200636,0.5,7.078877978331912e-05
10203,PSA,2015,5,154.82847595214798,152.97566223144452,1.0,-157860978,0.0,0.0030051087400814
